time;reference;observation
 22.204126;7000.000000;7052.000000
 22.209118;7000.000000;7032.000000
 22.214127;7000.000000;7010.000000
 22.219122;7000.000000;7028.000000
 22.224123;7000.000000;7055.000000
 22.229122;7000.000000;7033.000000
 22.234123;7000.000000;7010.000000
 22.239124;7000.000000;7027.000000
 22.244122;7000.000000;7044.000000
 22.249125;7000.000000;7006.000000
 22.254128;6500.000000;7023.000000
 22.259123;6500.000000;6978.000000
 22.264126;6500.000000;6843.000000
 22.269121;6500.000000;6740.000000
 22.274122;6500.000000;6646.000000
 22.279123;6500.000000;6566.000000
 22.284121;6500.000000;6523.000000
 22.289129;6500.000000;6513.000000
 22.294123;6500.000000;6500.000000
 22.299122;6500.000000;6504.000000
 22.304127;6500.000000;6499.000000
 22.309122;6500.000000;6477.000000
 22.314125;6500.000000;6497.000000
 22.319118;6500.000000;6481.000000
 22.324123;6500.000000;6475.000000
 22.329121;6500.000000;6495.000000
 22.334148;6500.000000;6499.000000
 22.339127;6500.000000;6479.000000
 22.344124;6500.000000;6495.000000
 22.349119;6500.000000;6476.000000
 22.354128;6500.000000;6497.000000
 22.359119;6500.000000;6492.000000
 22.364120;6500.000000;6474.000000
 22.369120;6500.000000;6456.000000
 22.374125;6500.000000;6324.000000
 22.379122;6500.000000;6141.000000
 22.384123;6500.000000;6008.000000
 22.389126;6500.000000;6025.000000
 22.394121;6500.000000;6018.000000
 22.399120;6500.000000;6189.000000
 22.404121;6500.000000;6297.000000
 22.409124;6500.000000;6424.000000
 22.414125;6500.000000;6483.000000
 22.419121;6500.000000;6509.000000
 22.424124;6500.000000;6515.000000
 22.429117;6500.000000;6546.000000
 22.434126;6500.000000;6536.000000
 22.439125;6500.000000;6567.000000
 22.444122;6500.000000;6542.000000
 22.449123;6500.000000;6551.000000
 22.454123;6500.000000;6527.000000
 22.459124;6500.000000;6546.000000
 22.464125;6500.000000;6545.000000
 22.469122;6500.000000;6530.000000
 22.474123;6500.000000;6550.000000
 22.479122;6500.000000;6528.000000
 22.484123;6500.000000;6533.000000
 22.489122;6500.000000;6551.000000
 22.494123;6500.000000;6530.000000
 22.499123;6500.000000;6567.000000
 22.504122;6500.000000;6556.000000
 22.509121;6500.000000;6535.000000
 22.514124;6500.000000;6527.000000
 22.519121;6500.000000;6521.000000
 22.524122;6500.000000;6531.000000
 22.529118;6500.000000;6522.000000
 22.534124;6500.000000;6533.000000
 22.539124;6500.000000;6526.000000
 22.544121;6500.000000;6521.000000
 22.549122;6500.000000;6534.000000
 22.554125;6500.000000;6525.000000
 22.559124;6500.000000;6544.000000
 22.564121;6500.000000;6535.000000
 22.569118;6500.000000;6525.000000
 22.574129;6500.000000;6518.000000
 22.579123;6500.000000;6549.000000
 22.584124;6500.000000;6527.000000
 22.589125;6500.000000;6520.000000
 22.594124;6500.000000;6521.000000
 22.599123;6500.000000;6517.000000
 22.604122;6500.000000;6516.000000
 22.609123;6500.000000;6542.000000
 22.614126;6500.000000;6520.000000
 22.619122;6500.000000;6518.000000
 22.624125;6500.000000;6520.000000
 22.629124;6500.000000;6517.000000
 22.634417;6500.000000;6520.000000
 22.639126;6500.000000;6519.000000
 22.644127;6500.000000;6520.000000
 22.649126;6500.000000;6517.000000
 22.654123;6500.000000;6516.000000
 22.659121;6500.000000;6518.000000
 22.664127;6500.000000;6532.000000
 22.669123;6500.000000;6519.000000
 22.674124;6500.000000;6517.000000
 22.679123;6500.000000;6518.000000
